customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,0,Yes,No,39,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,23.9,932.1,Yes
CUST-00001,Female,1,No,Yes,49,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,18.0,882.0,Yes
CUST-00002,Female,0,No,Yes,14,Yes,No,No,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,18.0,252.0,Yes
CUST-00003,Male,0,No,No,38,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,684.0,Yes
CUST-00004,Male,0,No,No,32,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.28,616.96,Yes
CUST-00005,Male,0,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,18.0,594.0,Yes
CUST-00006,Female,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,18.0,882.0,Yes
CUST-00007,Female,0,No,Yes,37,Yes,No,No,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,18.0,666.0,Yes
CUST-00008,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,80.75,969.0,Yes
CUST-00009,Female,1,Yes,No,3,Yes,No,No,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,120.0,360.0,Yes
CUST-00010,Male,0,No,Yes,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,51.67,930.06,Yes
CUST-00011,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.52,829.92,Yes
CUST-00012,Male,0,Yes,Yes,41,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,18.0,738.0,Yes
CUST-00013,Female,0,Yes,No,35,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,18.0,630.0,Yes
CUST-00014,Male,0,Yes,No,4,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,51.0,204.0,Yes
CUST-00015,Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,18.0,1008.0,Yes
CUST-00016,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,25.74,978.12,Yes
CUST-00017,Male,0,No,No,41,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,18.0,738.0,Yes
CUST-00018,Male,0,No,No,44,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,18.0,792.0,Yes
CUST-00019,Male,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,18.0,270.0,Yes
CUST-00020,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,18.0,990.0,Yes
CUST-00021,Female,0,No,No,43,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,18.0,774.0,Yes
CUST-00022,Male,0,Yes,Yes,44,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,18.0,792.0,Yes
CUST-00023,Female,0,Yes,Yes,52,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,936.0,Yes
CUST-00024,Male,0,No,No,26,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,31.62,822.12,Yes
CUST-00025,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,120.0,240.0,Yes
CUST-00026,Female,1,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,46.11,829.98,Yes
CUST-00027,Female,1,Yes,No,29,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,29.55,856.95,Yes
CUST-00028,Female,0,Yes,Yes,38,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,18.0,684.0,Yes
CUST-00029,Male,0,No,Yes,37,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,21.62,799.94,Yes
CUST-00030,Female,0,Yes,No,59,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,18.0,1062.0,Yes
CUST-00031,Male,0,No,Yes,40,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,720.0,Yes
CUST-00032,Male,0,No,Yes,43,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,18.0,774.0,Yes
CUST-00033,Male,0,No,No,37,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,18.0,666.0,Yes
CUST-00034,Female,1,No,Yes,51,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,18.0,918.0,Yes
CUST-00035,Female,0,Yes,No,39,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,24.08,939.12,Yes
CUST-00036,Female,0,No,Yes,53,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,18.0,954.0,Yes
CUST-00037,Male,0,Yes,Yes,24,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,23.83,571.92,Yes
CUST-00038,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,25.67,770.1,Yes
CUST-00039,Male,0,Yes,No,6,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.83,412.98,Yes
CUST-00040,Female,0,No,Yes,28,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,35.46,992.88,Yes
CUST-00041,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.24,871.08,Yes
CUST-00042,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,30.97,929.1,Yes
CUST-00043,Female,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,120.0,480.0,Yes
CUST-00044,Male,0,Yes,No,24,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,36.42,874.08,Yes
CUST-00045,Female,0,Yes,Yes,26,Yes,No,No,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,38.0,988.0,Yes
CUST-00046,Male,0,No,No,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,666.0,Yes
CUST-00047,Female,0,Yes,No,56,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,18.0,1008.0,Yes
CUST-00048,Female,0,No,Yes,44,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,18.0,792.0,Yes
CUST-00049,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,39.83,716.94,Yes
CUST-00050,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,324.0,Yes
CUST-00051,Male,0,No,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,120.0,720.0,Yes
CUST-00052,Male,0,No,No,55,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,18.0,990.0,Yes
CUST-00053,Male,0,Yes,No,60,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.0,1080.0,Yes
CUST-00054,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,28.0,196.0,Yes
CUST-00055,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,240.0,Yes
CUST-00056,Female,0,No,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,22.47,966.21,Yes
CUST-00057,Male,0,Yes,No,59,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,18.0,1062.0,Yes
CUST-00058,Male,0,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,18.0,936.0,Yes
CUST-00059,Female,0,Yes,No,51,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,18.0,918.0,Yes
CUST-00060,Female,0,No,Yes,40,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,24.98,999.2,Yes
CUST-00061,Male,0,Yes,Yes,34,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,18.0,612.0,Yes
CUST-00062,Male,0,Yes,No,3,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,94.0,282.0,Yes
CUST-00063,Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,18.0,774.0,Yes
CUST-00064,Male,0,No,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,82.0,820.0,Yes
CUST-00065,Female,0,No,No,5,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,115.0,575.0,Yes
CUST-00066,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25.38,736.02,Yes
CUST-00067,Male,1,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,18.37,753.17,Yes
CUST-00068,Male,0,No,Yes,45,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,18.0,810.0,Yes
CUST-00069,Female,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,18.0,954.0,Yes
CUST-00070,Male,0,Yes,Yes,54,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,972.0,Yes
CUST-00071,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,31.18,530.06,Yes
CUST-00072,Female,1,Yes,No,33,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,18.0,594.0,Yes
CUST-00073,Female,1,No,No,6,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,61.5,369.0,Yes
CUST-00074,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,18.0,1044.0,Yes
CUST-00075,Female,1,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,20.21,767.98,Yes
CUST-00076,Male,0,Yes,Yes,53,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.0,954.0,Yes
CUST-00077,Female,0,Yes,Yes,25,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,27.24,681.0,Yes
CUST-00078,Male,0,No,Yes,17,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,50.47,857.99,Yes
CUST-00079,Female,0,Yes,Yes,54,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,18.0,972.0,Yes
CUST-00080,Male,0,Yes,Yes,13,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,48.0,624.0,Yes
CUST-00081,Male,1,Yes,No,7,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,120.0,840.0,Yes
CUST-00082,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,18.0,738.0,Yes
CUST-00083,Male,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,18.0,810.0,Yes
CUST-00084,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,18.0,846.0,Yes
CUST-00085,Male,1,No,Yes,31,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,25.32,784.92,Yes
CUST-00086,Female,0,No,No,22,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,18.0,396.0,Yes
CUST-00087,Female,0,No,No,19,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,26.68,506.92,Yes
CUST-00088,Female,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,18.0,612.0,Yes
CUST-00089,Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,120.0,360.0,Yes
